#Abrothallus parmeliarum
#Abrothallus peyritschii
#Abrothallus usneae
Acarospora americana
Acarospora badiofusca
Acarospora bullata
Acarospora fuscata
Acarospora glaucocarpa
Acarospora moenium
Acarospora privigna
**†Acarospora scottii
Acarospora sinopica
*Acarospora squamulosa
*Acarospora thamnina
*Acarospora veronensis
Acrocordia cavata
Agonimia sp.
Ahtiana aurescens
Alectoria sarmentosa
Alyxoria varia
Amandinea punctata
Amygdalaria panaeola
Anaptychia crinalis
Anaptychia palmulata
**Anema tumidulum
Anisomeridium biforme
Arctoparmelia centrifuga
Arctoparmelia incurva
Arctoparmelia subcentrifuga
*Arthonia atra
**#Arthonia clemens
Arthonia didyma
*#Arthonia epiphyscia
Arthonia helvola
†Arthonia hypobela
*#Arthonia intexta
*Arthonia lapidicola
Arthonia patellulata
Arthonia radiata
Arthonia sp.
**#Arthonia stereocaulina
*#Arthonia varians
Arthonia vinosa
Arthothelium spectabile
*Aspicilia bicensis
Aspicilia cinerea
Aspicilia laevata
Aspicilia verrucigera
Athallia holocarpa
Athallia pyracea
Athallia cf.
#Bachmanniomyces punctum
Bacidia bagliettoana
****Bacidia gigantensis
Bacidia laurocerasi
Bacidia polychroa
Bacidia rubella
Bacidia schweinitzii
Bacidia subincompta
Bacidina inundata
Baeomyces rufus
Bellemerea cinereorufescens
*Bellemerea sanguinea
Biatora chrysantha
Biatora efflorescens
*Biatora hypophaea
*Biatora pontica
Biatora pycnidiata
Biatora vernalis
#Biatoropsis usnearum
Bilimbia sabuletorum
Bryobilimbia ahlesii
Bryobilimbia hypnorum
Bryobilimbia sanguineoatra
Bryoria americana
Bryoria furcellata
Bryoria fuscescens
Bryoria kockiana
Bryoria nadvornikiana
Bryoria pseudofuscescens
Bryoria trichodes
**Buellia abstracta
Buellia arnoldii
Buellia disciformis
Buellia griseovirens
Buellia schaereri
Buellia stillingiana
**#Buelliella physciicola
Calicium glaucellum
Calicium lenticulare
Calicium lucidum
Calicium parvum
Calicium salicinum
Calicium tigillare
Calicium trabinellum
**Calogaya pusilla
Caloplaca ahtii
Caloplaca arenaria
*Caloplaca borealis
Caloplaca cerina
Caloplaca chlorina
Caloplaca chrysophthalma
*Caloplaca demissa
†Caloplaca epithallina
Caloplaca microphyllina
Caloplaca sp.
Caloplaca stillicidiorum
Candelariella aurella
Candelariella efflorescens
Candelariella lutella
Candelariella vitellina
Candelariella xanthostigma
*†Carbonea vorticosa
Catillaria nigroclavata
*#Cercidospora epipolytropa
**#Cercidospora xanthoriae
Cetraria arenaria
Cetraria ericetorum
Cetraria islandica
